method,cluster_id,cluster_mean,cluster_se,ci95_lower,ci95_upper,inter_cluster_variance
Load-based,1,2128.927125663353,139.463701382702,1855.5782709532568,2402.275980373449,417785.88154468813
Load-based,2,296.16634559993344,56.0574275566296,186.29378758893944,406.03890361092743,417785.88154468813
Load-based,3,662.7903038916143,92.91199475060492,480.68279418042863,844.8978136027999,417785.88154468813
Load-based,4,602.330027592324,57.883018341138886,488.8793116436918,715.7807435409562,417785.88154468813
Load-based,5,11.224468340518044,1.127676555826239,9.014222291098616,13.434714389937472,417785.88154468813
Load-based,6,317.44769965648715,68.09241865176702,183.9865590990238,450.9088402139505,417785.88154468813
Load-based,7,854.1637897581103,98.9005511637212,660.3187094772168,1048.0088700390038,417785.88154468813
Load-based,8,425.1895054207125,68.09030201343647,291.732513474377,558.646497367048,417785.88154468813
Flexibility-aware,1,3086.379600414686,104.10475260914677,2882.3342853007584,3290.424915528614,1160880.5078086446
Flexibility-aware,2,125.11695281071559,22.780337309327024,80.46749168443462,169.76641393699657,1160880.5078086446
Flexibility-aware,3,163.56737723613736,24.368423954577867,115.80526628516475,211.32948818710997,1160880.5078086446
Flexibility-aware,4,1277.1758109036427,84.00287910142114,1112.5301678648573,1441.8214539424282,1160880.5078086446
Flexibility-aware,5,150.94318783251828,65.9154001449367,21.749003548442346,280.1373721165942,1160880.5078086446
Flexibility-aware,6,34.476486892193826,5.016162171842694,24.644809035382146,44.308164749005506,1160880.5078086446
Flexibility-aware,7,139.08117432448478,22.424976156173265,95.12822105838518,183.03412759058438,1160880.5078086446
Flexibility-aware,8,16.65958407500842,5.5142322170331,5.8516889296235455,27.467479220393297,1160880.5078086446
