method,scenario,selected_days,total_days,pct_days_selected,captured_delta_load,total_delta_load,pct_dr_captured
Load-based,A: Top 1 cluster,276,1782,0.15488215488215487,587583.8866830854,1237140.6906571721,0.474953165085015
Load-based,B: Top 2 clusters,464,1782,0.26038159371492703,748166.67915761,1237140.6906571721,0.6047547258025942
Load-based,C: Top 30% days,681,1782,0.38215488215488214,891992.1751020905,1237140.6906571721,0.7210111039418339
Load-based,D: Top 50% days,922,1782,0.5173961840628507,1037153.7117518405,1237140.6906571721,0.8383474244961597
Flexibility-aware,A: Top 1 cluster,319,1782,0.17901234567901234,984555.092532285,1237140.6906571721,0.7958311451297322
Flexibility-aware,B: Top 2 clusters,430,1782,0.24130190796857465,1126321.6075425893,1237140.6906571721,0.9104232170589139
Flexibility-aware,C: Top 30% days,625,1782,0.3507295173961841,1158217.246103636,1237140.6906571721,0.936204956194908
Flexibility-aware,D: Top 50% days,1038,1782,0.5824915824915825,1213806.3817756139,1237140.6906571721,0.9811385163726504
