method,metric,kruskal_stat,p_value,significant
DTW load-based,delta_load,220.2826815295803,5.746487434557006e-44,True
DTW load-based,SEF,409.1778581197863,2.565071347226078e-84,True
DTW load-based,PSS,179.69846635983768,2.255795843833582e-35,True
DTW load-based,PAR,879.5486916602295,1.251402687498126e-185,True
Euclidean load-based,delta_load,192.4988928716797,4.4424704685489697e-38,True
Euclidean load-based,SEF,123.71022016962169,1.2916636244300264e-23,True
Euclidean load-based,PSS,168.12714549053442,6.230889210176209e-33,True
Euclidean load-based,PAR,363.35513815489503,1.7025330846186909e-74,True
