method,scenario,selected_days,total_days,pct_days_selected,captured_delta_load,total_delta_load,pct_dr_captured
DTW load-based,A: Top 1 cluster,276,1782,0.15488215488215487,587583.8866830854,1237140.6906571721,0.474953165085015
DTW load-based,B: Top 2 clusters,464,1782,0.26038159371492703,748166.67915761,1237140.6906571721,0.6047547258025942
DTW load-based,C: Top 30% days,681,1782,0.38215488215488214,891992.1751020905,1237140.6906571721,0.7210111039418339
DTW load-based,D: Top 50% days,922,1782,0.5173961840628507,1037153.7117518405,1237140.6906571721,0.8383474244961597
Euclidean load-based,A: Top 1 cluster,246,1782,0.13804713804713806,439123.327965597,1237140.6906571721,0.3549501938476647
Euclidean load-based,B: Top 2 clusters,452,1782,0.2536475869809203,642156.6900510748,1237140.6906571721,0.5190652081049566
Euclidean load-based,C: Top 30% days,656,1782,0.3681257014590348,798508.0897983867,1237140.6906571721,0.6454464684806521
Euclidean load-based,D: Top 50% days,911,1782,0.5112233445566778,978137.4417924003,1237140.6906571721,0.79064365854203
