method,metric,kruskal_stat,p_value,significant
Load-based,delta_load,220.2826815295803,5.746487434557006e-44,True
Load-based,SEF,409.1778581197863,2.565071347226078e-84,True
Load-based,PSS,179.69846635983768,2.255795843833582e-35,True
Load-based,PAR,879.5486916602295,1.251402687498126e-185,True
Flexibility-aware,delta_load,1026.5746524151266,2.1806603365955036e-217,True
Flexibility-aware,SEF,1333.4504070949235,9.657021432784409e-284,True
Flexibility-aware,PSS,1038.4260002016874,5.9915464251682254e-220,True
Flexibility-aware,PAR,1097.4712845712702,1.0374083951607306e-232,True
