method,cluster_id,count,mean,median,std,variance,min,max
load_cluster_id,1,276,2128.927125663353,1427.2298530620753,2316.945019832866,5368234.224928319,0.0,9506.966557112568
load_cluster_id,2,186,296.16634559993344,12.146543438328706,764.5213824829362,584492.9442736201,0.0,5334.795911721319
load_cluster_id,3,217,662.7903038916143,12.199900320969196,1368.6791489506977,1873282.612772406,0.0,7834.066633629345
load_cluster_id,4,241,602.330027592324,116.26379037759996,898.5860886746632,807456.9587596297,0.0,5241.387441050751
load_cluster_id,5,298,11.224468340518044,11.41396067183102,19.466715581703,378.9530155389183,0.0,200.09814700844427
load_cluster_id,6,170,317.44769965648715,4.363864394670829,887.8165189013306,788218.1712340766,0.0,6926.927371270373
load_cluster_id,7,188,854.1637897581103,11.751863736245236,1356.0560371355282,1838887.9758517127,0.0,6292.579689836138
load_cluster_id,8,206,425.1895054207125,6.2539873408333335,977.2796841364727,955075.5810258839,0.0,5401.572464128992
flexibility_cluster_id,1,319,3086.379600414686,2833.7628624084314,1859.3703357706652,3457258.0455439165,309.82192646277065,9506.966557112568
flexibility_cluster_id,2,181,125.11695281071559,1.3305212431999998,306.47809382521245,93928.82199473571,0.0,2237.899590885689
flexibility_cluster_id,3,195,163.56737723613736,4.618038828466667,340.2865215900545,115794.91677585864,0.0,1843.28218419432
flexibility_cluster_id,4,111,1277.1758109036427,998.1737581286666,885.0252484553225,783269.6904034053,95.8527084244,4158.810384858969
flexibility_cluster_id,5,57,150.94318783251828,19.049634201333333,497.6503578288936,247655.87864722585,0.0283465518393934,3376.345194561009
flexibility_cluster_id,6,614,34.476486892193826,7.321865576377704,124.2955997677091,15449.396121614529,0.0,974.4965314627506
flexibility_cluster_id,7,175,139.08117432448478,11.22512642612222,296.654550328938,88003.9222308644,0.0,2301.311639294283
flexibility_cluster_id,8,130,16.65958407500842,1.1879568688,62.87192062151076,3952.87840263755,0.0,534.6008279239956
