k,inertia,silhouette,avg_pms,elapsed_s,inertia_drop_%
2,48.93576436348608,0.1160687506198883,0.33484283089637756,1928.266584600001,9.817791497926699
3,44.1313530503623,0.10857580602169037,0.351405531167984,2332.005522300001,8.060153716532936
4,40.57429815731725,0.11795684695243835,0.35857564210891724,2267.538234299999,2.8777449969267352
5,39.40667332205692,0.11083894222974777,0.368258535861969,2180.9516266,9.410064247308155
6,35.69848004472452,0.13411206007003784,0.39007678627967834,2358.3759435,5.344806556287629
7,33.79046534279905,0.12507642805576324,0.3989359438419342,2299.6244438000003,3.202647544999035
8,32.70827583405415,0.13551507890224457,0.40893030166625977,2328.7570460000006,2.04866353069457
9,32.038193315522896,0.12041910737752914,0.40755727887153625,2414.749356200001,2.2804634021195014
10,31.3075740422621,0.11837951838970184,0.41271260380744934,2398.6844669,1.3916527210096623
11,30.871881336220845,0.11048336327075958,0.4049753248691559,2346.3182394000005,2.828350170704347
12,29.9987164277482,0.10104058682918549,0.41892215609550476,2443.3895079000013,2.7883991503721712
13,29.16223247375431,0.10286471992731094,0.42395737767219543,2453.1753423,1.2971665995397552
14,28.783949734424635,0.09773759543895721,0.4198102056980133,2493.444405699999,0.33047413966201067
15,28.68882622417905,0.09178507328033447,0.4262233376502991,2528.598824200001,1.1659776689159964
16,28.354320916931005,0.1079925075173378,0.4288642108440399,2482.0562007999997,2.558813422544976
17,27.628786747437097,0.09624326974153519,0.42754068970680237,2557.8026578999998,1.2323112452429044
18,27.28831410142425,0.07138440012931824,0.4298790991306305,2535.661853300001,0.920809341138587
19,27.037040756139096,0.07917299121618271,0.42796409130096436,2576.1037749999996,1.3687589553083486
20,26.666968839539074,0.09691751003265381,0.4313315451145172,2575.4798582000003,0.0
